N,DATE,CONFIRMED,AC,REC,D,ConfDelta,ACDelta,RecDelta,Ddelta
92,5/22/2020,228658,59322,136720,32616,,,,
91,5/21/2020,228006,60960,134560,32486,,,,
90,5/20/2020,227364,62752,132282,32330,,,,
89,5/19/2020,226699,65129,129401,32169,,,,
88,5/18/2020,225886,66553,127326,32007,,,,
87,5/17/2020,225435,68351,125176,31908,,,,
86,5/16/2020,224760,70187,122810,31763,,,,
85,5/15/2020,223885,72070,120205,31610,,,,
84,5/14/2020,223096,76440,115288,31368,,,,
83,5/13/2020,222104,78457,112541,31106,,,,
82,5/12/2020,221216,81266,109039,30911,,,,
81,5/11/2020,219814,82488,106587,30739,,,,
80,5/10/2020,219070,83324,105186,30560,,,,
79,5/9/2020,218268,84842,103031,30395,,,,
78,5/8/2020,217185,87961,99023,30201,,,,
77,5/7/2020,215858,89624,96276,29958,,,,
76,5/6/2020,214457,91528,93245,29684,,,,
75,5/5/2020,213013,98467,85231,29315,,,,
74,5/5/2020,213013,98467,85231,29315,,,,
73,5/4/2020,211938,99980,82879,29079,,,,
72,5/3/2020,210717,100179,81654,28884,,,,
71,5/2/2020,209328,100704,79914,28710,,,,
70,5/1/2020,207428,100943,78249,28236,,,,
69,4/30/2020,205463,101551,75945,27967,,,,
68,4/29/2020,203591,104657,71252,27682,,,,
67,4/28/2020,201505,105205,68941,27359,2091,-608,2317,382
66,4/27/2020,199414,105813,66624,26977,1739,-290,1696,333
65,4/26/2020,197675,106103,64928,26644,2324,256,1808,260
64,4/25/2020,195351,105847,63120,26384,2357,-680,2622,415
63,4/24/2020,192994,106527,60498,25969,3021,-321,2922,420
62,4/23/2020,189973,106848,57576,25549,2646,-851,3033,464
61,4/22/2020,187327,107699,54543,25085,3370,-10,2943,437
60,4/21/2020,183957,107709,51600,24648,2729,-528,2723,534
59,4/20/2020,181228,108237,48877,24114,2256,-20,1822,454
58,4/19/2020,178972,108257,47055,23660,3047,486,2128,433
57,4/18/2020,175925,107771,44927,23227,3491,809,2200,482
56,4/17/2020,172434,106962,42727,22745,3493,355,2563,575
55,4/16/2020,168941,106607,40164,22170,3786,1189,2072,525
54,4/15/2020,165155,105418,38092,21645,2667,1127,962,578
53,4/14/2020,162488,104291,37130,21067,2972,675,1695,602
52,4/13/2020,159516,103616,35435,20465,3153,1363,1224,566
51,4/12/2020,156363,102253,34211,19899,4092,1984,1677,431
50,4/11/2020,"152,271",100269,32534,19468,4694,1996,2079,619
49,4/10/2020,147577,98273,30455,18849,3951,1396,1985,570
48,4/9/2020,"143,626",96877,28470,18279,4204,1615,1979,610
47,4/8/2020,139422,95262,26491,17669,3836,1195,2099,542
46,4/7/2020,135586,94067,24392,17127,3039,880,1555,604
45,4/6/2020,132547,93187,22837,16523,3599,1941,1022,636
44,4/5/2020,128948,91246,21815,15887,4316,2972,819,525
43,4/4/2020,124632,88274,20996,15362,4805,2886,1238,681
42,4/3/2020,119827,85388,19758,14681,4585,2339,1480,766
41,4/2/2020,115242,83049,18278,13915,4668,2477,1431,760
40,4/1/2020,110574,80572,16847,13155,4782,2937,1118,727
39,3/31/2020,105792,77635,15729,12428,4053,2107,1109,837
38,3/30/2020,101739,75528,14620,11591,4050,1648,1590,812
37,3/29/2020,97689,73880,13030,10779,5217,3815,646,756
36,3/28/2020,92472,70065,12384,10023,5974,3651,1434,889
35,3/27/2020,86498,66414,10950,9134,5909,4401,559,919
34,3/26/2020,80589,62013,10391,8215,6203,4492,1029,712
33,3/25/2020,74386,57521,9362,7503,5210,3491,1036,683
32,3/24/2020,69176,54030,8326,6820,5249,3204,1302,743
31,3/23/2020,63927,50826,"7,024",6077,4789,4188,0,601
30,3/22/2020,59138,46638,7024,5476,5560,3957,952,651
29,3/21/2020,53578,42681,6072,4825,6557,4132,1632,793
28,3/20/2020,47021,38549,"4,440",4032,5986,5359,0,627
27,3/19/2020,41035,33190,4440,3405,5322,4480,415,427
26,3/18/2020,35713,28710,4025,2978,4207,2648,1084,475
25,3/17/2020,31506,26062,2941,2503,3526,2989,147,345
24,3/16/2020,27980,23073,2794,2158,3233,2470,459,349
23,3/15/2020,24747,20603,2335,1809,3590,2853,369,368
22,3/14/2020,21157,17750,1966,1441,3497,2795,527,175
21,3/13/2020,17660,14955,1439,1266,5198,4365,394,439
20,3/11/2020,12462,10590,1045,827,2313,1796,321,196
19,3/10/2020,10149,8794,724,631,977,809,0,168
18,3/9/2020,9172,7985,724,463,1797,1598,102,97
17,3/8/2020,7375,6387,622,366,1492,1326,33,133
16,3/7/2020,5883,5061,589,233,1247,1145,66,36
15,3/6/2020,4636,3916,523,197,778,620,109,49
14,3/5/2020,3858,3296,414,148,769,590,138,41
13,3/4/2020,3089,2706,276,107,587,443,116,28
12,3/3/2020,2502,2263,160,79,466,428,11,27
11,3/2/2020,2036,1835,149,52,342,258,66,18
10,3/1/2020,1694,1577,83,34,566,524,37,5
9,2/29/2020,1128,1053,46,29,240,232,0,8
8,2/28/2020,888,821,46,21,233,228,1,4
7,2/27/2020,655,593,45,17,202,155,42,5
6,2/26/2020,453,438,3,12,131,127,2,2
5,2/25/2020,322,311,1,10,93,90,0,3
4,2/24/2020,229,221,1,7,74,71,-1,4
3,2/23/2020,155,150,2,3,93,91,1,1
2,2/22/2020,62,59,1,2,42,40,1,1
1,2/21/2020,20,19,0,1,1,0,0,0
